id,name,about
C_584313,Zizhi Tongjian Giới thiệu,Thông qua hướng dẫn của giáo viên
C_584329,Giải tích - Lý thuyết giới hạn và hàm số một biến,Bạn có thể làm được điều đó không? Bạn có thể làm điều đó bằng cách sử dụng nó.
C_584381,Phóng sự ảnh,"Nắm vững các kỹ năng chụp ảnh cơ bản, hiểu cách thức hoạt động của báo chí ảnh, rèn luyện khả năng quan sát và tình yêu cuộc sống, phát triển các kỹ năng thẩm mỹ và phê phán hình ảnh cũng như phát triển sở thích suốt đời"
C_597208,Khai thác dữ liệu: Lý thuyết và thuật toán,Lý thuyết thú vị nhất + thuật toán hữu ích nhất = khoa học dữ liệu phải học
C_597225,Máy tính đại học,"Các khóa học máy tính ở trường đại học sẽ được định hướng bằng tư duy tính toán, dựa trên các nguyên tắc và khái niệm máy tính, được thúc đẩy bởi các công nghệ và phương pháp mới, đồng thời nhằm mục đích trau dồi khả năng tư duy đổi mới. Cùng với người học, chúng ta sẽ hiểu về khoa học máy tính, tìm hiểu công nghệ máy tính và làm chủ phương pháp tư duy."
C_597229,Phân tích tài chính và ra quyết định,"Khóa học này sử dụng ngôn ngữ tài chính để phân tích quá trình tạo ra giá trị của doanh nghiệp, từ đó giúp người học hiểu được các yếu tố khác nhau ảnh hưởng đến việc tạo ra giá trị, hình thành tư duy tài chính và có khả năng áp dụng nó vào các quyết định kinh doanh."
C_597291,Viết tiếng Anh nâng cao,"Khóa học này có thể giúp học sinh nắm vững các phương pháp và kỹ thuật viết đoạn văn tiếng Anh, tiểu luận ngắn, sơ đồ, bố cục và tiểu luận ứng dụng, tìm hiểu các đặc điểm ngôn ngữ và phương pháp viết của bài viết tiếng Anh học thuật chuẩn và đích thực, đồng thời giúp học sinh nâng cao trình độ viết tiếng Anh và kỹ năng giao tiếp bằng văn bản."
C_597307,Sự trỗi dậy và sụp đổ của triều đại nhà tang,Lịch sử của Sui
C_597314,Đại học Trung Quốc - Phân tích của Triều đại phương Bắc đến Văn học hiện đại,"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng thấy, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_597365,Dễ dàng nhận được nghi thức nơi làm việc trong năm phút (Mùa xuân 2019),"Nơi làm việc ""nghi lễ"" đến trước"
C_597367,Phong cách trang điểm thời trang (Mùa thu 2018),Giải thích các nguyên tắc và phương pháp cơ bản của cô dâu đời sống thời trang và kiểu trang điểm thương mại cho những người yêu thích làm đẹp
C_608132,0526 Thử nghiệm Lớp đơn,Sau đây là phần giới thiệu sản phẩm
C_629503,Biết chữ thông tin - Các khóa học bắt buộc cho nghiên cứu học thuật (Mùa xuân 2019),"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng thấy, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_629513,Viết đô thị của văn học cổ điển,"Thông qua môn học này, chúng ta có thể đánh giá đầy đủ về nguồn gốc của văn học cũng như sự kế thừa và phát triển của tinh thần văn hóa đô thị. Trong sự thâm nhập của các tác phẩm văn học kinh điển, chúng ta luôn có thể bị lay động bởi nội hàm văn hóa độc đáo của mỗi thành phố."
C_629514,Giới thiệu về Zizhi Tongjian,"Thông qua sự hướng dẫn của giáo viên, học sinh có thể đi sâu vào nội dung của cuốn sách kinh điển này, có được cái nhìn tổng quan về hàng nghìn năm lịch sử, nâng cao khả năng đọc hiểu về Trung Quốc học và trân trọng sự khôn ngoan của cuộc sống."
C_629515,Lớp học Luận ngữ của Khổng Tử,Khổng Tử Luận là một tuyển tập văn xuôi theo phong cách trích dẫn vào thời Xuân Thu của Trung Quốc. Nó chủ yếu ghi lại lời nói và việc làm của Khổng Tử và các đệ tử của ông. Nó được biên soạn bởi các đệ tử của Khổng Tử và các đệ tử của ông đã truyền lại nó. Nó phản ánh tư tưởng của Khổng Tử một cách tương đối tập trung.
C_629520,Sinh lý bệnh,Sinh lý bệnh là một khoa học tập trung vào các cơ quan gây bệnh và tập trung vào những thay đổi chức năng và trao đổi chất
C_629522,Tìm kiếm văn học y khoa,"Chủ yếu dạy kiến ​​thức lý thuyết cơ bản và các kỹ năng cơ bản về truy xuất tài liệu y khoa, truy xuất cơ sở dữ liệu tài liệu y học Trung Quốc, truy xuất PubMed, truy xuất Web of Science, mô tả và quản lý tài liệu tham khảo và các nội dung khóa học cốt lõi khác."
C_629558,Miễn dịch học y tế và sinh học mầm bệnh,"Hiện nay, khoảng cách nhân tài trong lĩnh vực khoa học dữ liệu và trí tuệ nhân tạo đang lớn chưa từng thấy, nhu cầu học hỏi kiến ​​thức liên quan đến AI của mọi người cũng tăng lên rất nhiều. Khóa học này chủ yếu bao gồm 8 bài giảng và 1 nhiệm vụ thử thách chuyển đổi. Các bài giảng được tổ chức mỗi tuần."
C_629559,Cuộc sống tiếng Anh nâng cao,Bạn có muốn giới thiệu nghiên cứu học thuật của bạn một cách trôi chảy bằng tiếng Anh? Bạn có muốn biết thiên văn học và địa lý bằng tiếng Anh? Hãy để chúng tôi đưa bạn đến thăm thế giới tiếng Anh của các ngành khác nhau
C_645178,Khóa kiểm tra 0626,312321
C_654397,Series thử nghiệm 0710_1,Đây là phần giới thiệu sản phẩm
C_654435,Sê -ri thử nghiệm 0710_2,1
